Gaspar_code	FB_Spec_Code	Class	Order	Family	Bellwood_Floeter	Genus	Species	Genus_and_species	Size	Size_type	Depth_min	Depth_max	Size_class	Diet_2012	Home_range	Activity	Schooling	Level
58164	58164	Actinopterygii_(ray-finned_fishes)	Perciformes	Chaetodontidae	1	Chaetodon	andamanensis	Chaetodon_andamanensis	15	TL	0	10	3	IM	S	D	P	B
10406	10406	Actinopterygii_(ray-finned_fishes)	Anguilliformes	Ophichthidae	1	Ophichthus	urolophus	Ophichthus_urolophus	60	TL	0	NA	5	IM	S	N	S	B
10447	10447	Actinopterygii_(ray-finned_fishes)	Perciformes	Serranidae	1	Plectranthias	sagamiensis	Plectranthias_sagamiensis	6	SL	40	120	2	NA	NA	NA	NA	NA
10470	10470	Actinopterygii_(ray-finned_fishes)	Perciformes	Mullidae	1	Parupeneus	chrysopleuron	Parupeneus_chrysopleuron	55	TL	20	200	4	IM	M	D	F	B
10472	10472	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacanthidae	1	Chaetodontoplus	melanosoma	Chaetodontoplus_melanosoma	20	TL	5	25	4	IM	S	D	S	B
10473	10473	Actinopterygii_(ray-finned_fishes)	Perciformes	Cirrhitidae	1	Cirrhitichthys	aureus	Cirrhitichthys_aureus	14	TL	0	NA	3	IM	S	D	S	B
10507	10507	Actinopterygii_(ray-finned_fishes)	Perciformes	Pinguipedidae	1	Parapercis	mimaseana	Parapercis_mimaseana	20	SL	0	NA	3	IM	M	D	S	B
10537	10537	Actinopterygii_(ray-finned_fishes)	Scorpaeniformes	Synanceiidae	1	Inimicus	sinensis	Inimicus_sinensis	26	TL	5	90	3	FC	M	B	S	B
10541	10541	Actinopterygii_(ray-finned_fishes)	Perciformes	Pseudochromidae	1	Pseudochromis	quinquedentatus	Pseudochromis_quinquedentatus	9.5	TL	10	50	2	IM	S	D	S	B
10543	10543	Actinopterygii_(ray-finned_fishes)	Perciformes	Apogonidae	1	Apogon	brevicaudata	Apogon_brevicaudata	11	TL	0	NA	2	PK	S	N	NA	L
10547	10547	Actinopterygii_(ray-finned_fishes)	Perciformes	Ephippidae	1	Platax	batavianus	Platax_batavianus	65	SL	4	25	5	OM	W	D	M	L
10548	10548	Actinopterygii_(ray-finned_fishes)	Perciformes	Labridae	1	Choerodon	zamboangae	Choerodon_zamboangae	45	TL	0	NA	4	IM	M	D	S	B
1055	1055	Actinopterygii_(ray-finned_fishes)	Aulopiformes	Synodontidae	1	Saurida	undosquamis	Saurida_undosquamis	50	SL	1	350	5	NA	NA	NA	NA	NA
10553	10553	Actinopterygii_(ray-finned_fishes)	Tetraodontiformes	Monacanthidae	1	Pseudomonacanthus	peroni	Pseudomonacanthus_peroni	35	SL	0	NA	4	IM	W	D	NA	B
1056	1056	Actinopterygii_(ray-finned_fishes)	Perciformes	Serranidae	1	Rypticus	saponaceus	Rypticus_saponaceus	35	TL	1	68	4	IM	S	B	S	B
10576	10576	Actinopterygii_(ray-finned_fishes)	Perciformes	Labridae	1	Leptojulis	cyanopleura	Leptojulis_cyanopleura	13	TL	4	45	2	PK	S	D	F	L
10598	10598	Actinopterygii_(ray-finned_fishes)	Tetraodontiformes	Monacanthidae	1	Pseudomonacanthus	macrurus	Pseudomonacanthus_macrurus	18	SL	3	7	4	IM	W	D	NA	B
1092	1092	Actinopterygii_(ray-finned_fishes)	Perciformes	Mullidae	1	Mulloidichthys	martinicus	Mulloidichthys_martinicus	3.940.000.153	TL	0	66	4	IM	M	D	M	L
1093	1093	Actinopterygii_(ray-finned_fishes)	Perciformes	Mullidae	1	Mullus	auratus	Mullus_auratus	25	TL	9	91	4	IM	M	D	M	L
10934	10934	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacanthidae	1	Apolemichthys	guezei	Apolemichthys_guezei	15	TL	60	80	3	NA	NA	NA	NA	NA
10938	10938	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacanthidae	1	Apolemichthys	xanthopunctatus	Apolemichthys_xanthopunctatus	25	TL	3	8	4	HD	S	D	F	B
1094	1094	Actinopterygii_(ray-finned_fishes)	Perciformes	Mullidae	1	Pseudupeneus	maculatus	Pseudupeneus_maculatus	30	TL	0	90	4	IM	M	D	F	L
10940	10940	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacanthidae	1	Apolemichthys	xanthotis	Apolemichthys_xanthotis	20	SL	10	35	3	HD	S	D	F	B
10943	10943	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacanthidae	1	Apolemichthys	xanthurus	Apolemichthys_xanthurus	15	TL	5	20	3	HD	S	D	F	B
1095	1095	Actinopterygii_(ray-finned_fishes)	Perciformes	Mullidae	1	Upeneus	parvus	Upeneus_parvus	30	TL	18	100	4	IM	M	D	M	L
1061	1061	Actinopterygii_(ray-finned_fishes)	Beryciformes	Holocentridae	1	Holocentrus	adscensionis	Holocentrus_adscensionis	61	TL	0	180	5	IM	S	B	S	L
10613	10613	Actinopterygii_(ray-finned_fishes)	Perciformes	Pinguipedidae	1	Parapercis	sexfasciata	Parapercis_sexfasciata	12	TL	0	NA	3	IM	M	D	S	B
10615	10615	Actinopterygii_(ray-finned_fishes)	Perciformes	Labridae	1	Cirrhilabrus	filamentosus	Cirrhilabrus_filamentosus	8	TL	0	NA	2	PK	S	D	M	L
1062	1062	Actinopterygii_(ray-finned_fishes)	Beryciformes	Holocentridae	1	Holocentrus	rufus	Holocentrus_rufus	35	TL	0	30,48	4	IM	S	B	S	L
10621	10621	Actinopterygii_(ray-finned_fishes)	Perciformes	Apogonidae	1	Apogon	nigrocincta	Apogon_nigrocincta	9.1	SL	0	35	2	PK	S	N	L	L
1063	1063	Actinopterygii_(ray-finned_fishes)	Beryciformes	Holocentridae	1	Myripristis	jacobus	Myripristis_jacobus	25	TL	0	90	4	PK	S	B	M	L
10632	10632	Actinopterygii_(ray-finned_fishes)	Perciformes	Serranidae	1	Pseudanthias	fasciatus	Pseudanthias_fasciatus	21	TL	20	150	3	PK	S	D	F	L
10635	10635	Actinopterygii_(ray-finned_fishes)	Scorpaeniformes	Scorpaenidae	1	Neomerinthe	procurva	Neomerinthe_procurva	7.1	SL	20	920	3	IM	S	N	S	B
10636	10636	Actinopterygii_(ray-finned_fishes)	Scorpaeniformes	Scorpaenidae	1	Neomerinthe	megalepis	Neomerinthe_megalepis	9.399.999.619	SL	68	68	2	NA	NA	NA	NA	NA
1064	1064	Actinopterygii_(ray-finned_fishes)	Perciformes	Kyphosidae	1	Kyphosus	incisor	Kyphosus_incisor	90	SL	0	40	6	HM	W	D	M	H
1066	1066	Actinopterygii_(ray-finned_fishes)	Perciformes	Labridae	1	Bodianus	pulchellus	Bodianus_pulchellus	28.5	TL	15	120	4	IM	M	D	S	L
1067	1067	Actinopterygii_(ray-finned_fishes)	Perciformes	Labridae	1	Bodianus	rufus	Bodianus_rufus	40	TL	1	70	5	IM	M	D	S	L
1068	1068	Actinopterygii_(ray-finned_fishes)	Perciformes	Labridae	1	Halichoeres	radiatus	Halichoeres_radiatus	51	TL	2	60	5	IM	M	D	S	L
10684	10684	Actinopterygii_(ray-finned_fishes)	Perciformes	Clinidae	1	Clinus	spatulatus	Clinus_spatulatus	17.5	TL	0	2	3	IM	S	D	S	B
1070	1070	Actinopterygii_(ray-finned_fishes)	Perciformes	Lutjanidae	1	Lutjanus	fulgens	Lutjanus_fulgens	60	TL	60	60	5	IM	M	D	F	L
